index,1. open,2. high,3. low,4. close,5. volume
2024-12-30 19:55:00,219.8000,220.0700,219.8000,220.0700,2
2024-12-30 19:45:00,220.5000,220.5000,220.0100,220.5000,9
2024-12-30 19:40:00,220.2500,220.2500,220.2500,220.2500,3
2024-12-30 19:30:00,219.8000,219.8000,219.8000,219.8000,1
2024-12-30 19:25:00,219.9800,220.5000,219.9800,220.5000,22
2024-12-30 19:00:00,220.2500,220.2500,220.2500,220.2500,358776
2024-12-30 18:50:00,220.2500,220.2500,219.8000,219.8000,9
2024-12-30 18:40:00,219.9263,219.9263,219.9263,219.9263,27
2024-12-30 18:35:00,220.5000,220.5000,220.4988,220.4988,21
2024-12-30 18:30:00,220.2500,220.2500,220.2500,220.2500,358812
2024-12-30 18:25:00,219.9800,219.9800,219.9800,219.9800,1
2024-12-30 18:20:00,220.0000,220.2500,220.0000,220.2500,872
2024-12-30 18:15:00,219.8000,220.0000,219.8000,220.0000,328
2024-12-30 18:10:00,220.4900,220.4900,220.4900,220.4900,100
2024-12-30 18:05:00,220.5000,220.5000,220.5000,220.5000,10
2024-12-30 18:00:00,219.9900,220.4900,219.9900,220.4900,144
2024-12-30 17:55:00,219.9900,219.9900,219.9900,219.9900,1
2024-12-30 17:45:00,220.0000,220.0000,219.8000,219.8000,1338
2024-12-30 17:40:00,220.0000,220.0000,220.0000,220.0000,227
2024-12-30 17:35:00,220.1200,220.1200,220.0000,220.0000,231
2024-12-30 17:30:00,220.7000,220.7000,220.7000,220.7000,2
2024-12-30 17:25:00,220.7000,220.7000,220.0910,220.0910,32
2024-12-30 17:20:00,220.2500,220.7000,220.2500,220.7000,4
2024-12-30 17:15:00,220.2500,220.2500,219.8000,219.8000,122
2024-12-30 17:10:00,220.7000,220.7000,220.0600,220.0600,2
2024-12-30 17:05:00,220.2500,220.6500,220.0600,220.0600,5942
2024-12-30 16:55:00,220.2400,220.2500,218.5000,220.2500,14
2024-12-30 16:50:00,220.2700,220.2700,218.5000,220.0338,2070
2024-12-30 16:35:00,220.2600,221.0000,219.0000,220.2600,59
2024-12-30 16:30:00,220.0000,220.2500,220.0000,220.2500,21225
2024-12-30 16:25:00,221.0000,221.0000,218.5000,218.5000,16
2024-12-30 16:20:00,220.2500,221.0000,220.2000,221.0000,735
2024-12-30 16:15:00,220.2500,220.2500,220.2000,220.2000,3
2024-12-30 16:10:00,220.2500,222.0000,218.0100,218.0100,358793
2024-12-30 16:05:00,220.2500,220.2500,218.0100,218.0100,12326
2024-12-30 16:00:00,220.3000,220.3100,220.2000,220.2500,808708
2024-12-30 15:55:00,220.9200,220.9900,220.2100,220.3100,168278
2024-12-30 15:50:00,221.1400,221.3600,220.9300,221.0799,60078
2024-12-30 15:45:00,221.1700,221.3350,221.1500,221.1800,28213
2024-12-30 15:40:00,221.1299,221.3100,221.0000,221.1300,26619
2024-12-30 15:35:00,221.0700,221.1000,220.9000,221.1000,49300
2024-12-30 15:30:00,220.9170,221.0900,220.9000,221.0700,16625
2024-12-30 15:25:00,221.4300,221.4842,220.9300,220.9400,21410
2024-12-30 15:20:00,221.4590,221.5300,221.3000,221.4350,17957
2024-12-30 15:15:00,221.1800,221.5942,221.1600,221.4700,17877
2024-12-30 15:10:00,220.9550,221.3000,220.9550,221.2650,16306
2024-12-30 15:05:00,220.8650,220.9700,220.6700,220.9550,21345
2024-12-30 15:00:00,221.1150,221.1600,220.9080,220.9100,13388
2024-12-30 14:55:00,221.1859,221.2900,220.9500,221.1400,34240
2024-12-30 14:50:00,221.2996,221.2996,221.1000,221.1999,10029
2024-12-30 14:45:00,221.2800,221.5000,221.2461,221.3100,12323
2024-12-30 14:40:00,221.2999,221.3900,221.2500,221.2800,12606
2024-12-30 14:35:00,221.1300,221.3043,221.0712,221.2854,15510
2024-12-30 14:30:00,221.1700,221.4150,221.1450,221.1450,13496
2024-12-30 14:25:00,220.8900,221.3400,220.8700,221.2400,12758
2024-12-30 14:20:00,220.8900,220.9600,220.5601,220.8950,20617
2024-12-30 14:15:00,221.0015,221.1100,220.8250,220.8300,16027
2024-12-30 14:10:00,221.1500,221.1500,220.8300,221.0600,17009
2024-12-30 14:05:00,221.1850,221.2950,221.0300,221.1650,16945
2024-12-30 14:00:00,221.2455,221.4043,221.1500,221.1850,19947
2024-12-30 13:55:00,221.3750,221.4449,221.2300,221.2300,9072
2024-12-30 13:50:00,221.3500,221.3950,221.2200,221.3600,11412
2024-12-30 13:45:00,221.0700,221.3300,221.0600,221.2100,8221
2024-12-30 13:40:00,221.0800,221.2150,220.9100,221.1100,10874
2024-12-30 13:35:00,221.1050,221.1900,220.8100,221.0700,13179
2024-12-30 13:30:00,220.9200,221.1300,220.7700,221.0300,12871
2024-12-30 13:25:00,220.9650,221.0900,220.7800,220.9300,13454
2024-12-30 13:20:00,221.1899,221.2100,220.9200,220.9650,13974
2024-12-30 13:15:00,221.1200,221.2900,221.0200,221.1600,10514
2024-12-30 13:10:00,221.0000,221.2100,220.9600,221.0800,14737
2024-12-30 13:05:00,220.6900,220.9601,220.5500,220.9250,10077
2024-12-30 13:00:00,220.7350,220.7750,220.5050,220.7400,13742
2024-12-30 12:55:00,220.5597,220.7450,220.2300,220.7450,19855
2024-12-30 12:50:00,220.8400,220.8400,220.6400,220.6400,20224
2024-12-30 12:45:00,220.3300,220.7950,220.2600,220.7950,11445
2024-12-30 12:40:00,220.3550,220.3900,220.2100,220.3300,11818
2024-12-30 12:35:00,220.5000,220.5000,220.3002,220.3550,13322
2024-12-30 12:30:00,220.2750,220.4900,220.2300,220.3959,11741
2024-12-30 12:25:00,220.2600,220.3100,220.1200,220.2750,5623
2024-12-30 12:20:00,219.9900,220.3400,219.9900,220.2700,10188
2024-12-30 12:15:00,219.8100,220.0250,219.7800,219.9100,9823
2024-12-30 12:10:00,219.8500,220.0450,219.7894,219.8250,19594
2024-12-30 12:05:00,219.9550,219.9650,219.7500,219.8498,7718
2024-12-30 12:00:00,219.9350,220.1500,219.8800,219.9650,13260
2024-12-30 11:55:00,219.7250,219.9686,219.6800,219.9100,9156
2024-12-30 11:50:00,219.3100,219.7000,219.3100,219.7000,12081
2024-12-30 11:45:00,219.8800,219.9100,219.3100,219.3700,12380
2024-12-30 11:40:00,219.7100,220.0600,219.7100,219.9300,16536
2024-12-30 11:35:00,219.6800,219.8699,219.6700,219.6974,10239
2024-12-30 11:30:00,219.4600,219.7000,219.4500,219.6850,12657
2024-12-30 11:25:00,219.1600,219.4800,219.1401,219.4800,19042
2024-12-30 11:20:00,219.4600,219.5100,219.1484,219.1700,17058
2024-12-30 11:15:00,219.1400,219.4529,219.1000,219.3700,28182
2024-12-30 11:10:00,219.0651,219.2700,219.0651,219.1400,15922
2024-12-30 11:05:00,219.0000,219.1350,218.9400,219.1250,16168
2024-12-30 11:00:00,218.8100,218.9400,218.6800,218.9400,15955
2024-12-30 10:55:00,218.3700,218.8400,218.3700,218.7100,13701
2024-12-30 10:50:00,218.2600,218.3800,218.1701,218.3800,14041
2024-12-30 10:45:00,218.5400,218.8990,218.0752,218.2100,29239
2024-12-30 10:40:00,218.4600,218.5600,218.1800,218.5400,16092
